name,criterion,reference_event,t0_s,dur_s,mask_movement,min_abs_choice_auROC,min_firing_rate,maxneurons,brain_areas,unitindex
2023_01_04,choice_auROC_fr,stereoclick,0.01,0.31,1,0.1,2,1000,,
2023_01_04,choice_auROC_fr,stereoclick,0.11,0.41,1,0.1,2,1000,,
2023_01_04,choice_auROC_fr,stereoclick,0.21,0.51,1,0.1,2,1000,,
2023_01_04,choice_auROC_fr,stereoclick,0.31,0.61,1,0.1,2,1000,,
2022_12_19,choice_auROC_fr,stereoclick,0.11,0.41,1,0.1,2,1000,,
2022_12_19,choice_auROC_fr,stereoclick,0.31,0.61,1,0.1,2,1000,,
2022_12_19,choice_auROC_fr,stereoclick,0.51,0.81,1,0.1,2,1000,,
2022_12_19,choice_auROC_fr,cpoke_out,-0.31,0.3,0,0.1,2,1000,,
2022_12_07,choice_auROC_fr,stereoclick,0.01,0.31,1,0.1,1,1000,,
2022_12_07,choice_auROC_fr,stereoclick,0.11,0.41,1,0.1,1,1000,,
2022_12_07,choice_auROC_fr,stereoclick,0.31,0.61,1,0.1,1,1000,,
2022_12_07,choice_auROC_fr,stereoclick,0.51,0.81,1,0.1,1,1000,,
2022_12_07,choice_auROC_fr,cpoke_out,-0.31,0.3,0,0.1,1,1000,,
2022_11_12_max4,choice_auROC_fr,stereoclick,0.1,0.3,0,0.01,0,4,,
2022_11_09_unit385,unitindex,stereoclick,0.1,0.3,0,0.01,0,8,,385
2022_11_09_unit339,unitindex,stereoclick,0.1,0.3,0,0.01,0,8,,339
2022_11_01,firing_rate,stereoclick,0.01,1,0,0,0.5,1000,,
2022_10_23_max100,choice_auROC,stereoclick,0.01,0.31,0,0,0,100,,
2022_10_14_unit135,unitindex,stereoclick,0.1,0.3,0,0.01,0,8,,135
2022_10_14_max8,choice_auROC,stereoclick,0.1,0.3,0,0.01,0,8,,
2022_10_12_max9,choice_auROC,stereoclick,0.1,0.3,0,0.01,0,9,,
2022_10_11_max12,choice_auROC,stereoclick,0.1,0.3,0,0.01,0,12,,
2022_10_10,choice_auROC,stereoclick,0.01,0.31,1,0.1,0,1000,,
2022_10_10,choice_auROC,stereoclick,0.11,0.41,1,0.1,0,1000,,
2022_10_10,choice_auROC,stereoclick,0.31,0.61,1,0.1,0,1000,,
2022_10_10,choice_auROC,stereoclick,0.51,0.81,1,0.1,0,1000,,
2022_10_10,choice_auROC,cpoke_out,-0.31,0.3,0,0.1,0,1000,,
2022_10_04,choice_auROC,stereoclick,0.01,0.31,1,0.1,0,1000,,
2022_10_04,choice_auROC,stereoclick,0.11,0.41,1,0.1,0,1000,,
2022_10_04,choice_auROC,stereoclick,0.31,0.61,1,0.1,0,1000,,
2022_10_04,choice_auROC,stereoclick,0.51,0.81,1,0.1,0,1000,,
2022_09_11_max3,choice_auROC,stereoclick,0.1,0.3,0,0.01,0,3,,
2022_07_28_max30,choice_auROC,stereoclick,0.01,0.6,0,0.01,0,30,,
2022_07_28_max1,choice_auROC,stereoclick,0.01,0.6,0,0.01,0,1,,
2022_07_16,choice_auROC,stereoclick,0.01,0.3,0,0.08,0,1000,,
2022_07_16,choice_auROC,stereoclick,0.1,0.4,0,0.08,0,1000,,
2022_07_16,choice_auROC,cpoke_out,-0.3,0.3,0,0.08,0,1000,,
2022_07_15,choice_auROC,stereoclick,0.01,0.3,0,0.1,0,30,,
2022_07_15,choice_auROC,cpoke_out,-0.3,0.3,0,0.1,0,30,,
2022_06_16,firing_rate,stereoclick,0.01,1,0,0,0.1,50,,
2022_05_19,choice_auROC,stereoclick,0.01,0.3,0,0.1,0,1000,,
2022_05_19,choice_auROC,cpoke_out,-0.3,0.3,0,0.1,0,1000,,
2022_02_26,choice_auROC,stereoclick,0,0.6,0,0.1,0,1000,,
2022_02_26,choice_auROC,cpoke_out,-0.3,0.6,0,0.1,0,1000,,
2022_02_23_mPFC,choice_auROC,stereoclick,0.1,0.3,0,0.07,0,1000,"PrL, MO",
2022_02_23_mPFC,choice_auROC,cpoke_req_end,-0.3,0.3,0,0.07,0,1000,"PrL, MO",
2022_02_23_dmFC,choice_auROC,stereoclick,0.1,0.3,0,0.07,0,1000,"Cg1, M2",
2022_02_23_dmFC,choice_auROC,cpoke_req_end,-0.3,0.3,0,0.07,0,1000,"Cg1, M2",
2022_02_23_M1,choice_auROC,stereoclick,0.1,0.3,0,0.07,0,1000,M1,
2022_02_23_M1,choice_auROC,cpoke_req_end,-0.3,0.3,0,0.07,0,1000,M1,
2022_02_23_striatum,choice_auROC,stereoclick,0.1,0.3,0,0.07,0,1000,"dStr, vStr",
2022_02_23_striatum,choice_auROC,cpoke_req_end,-0.3,0.3,0,0.07,0,1000,"dStr, vStr",
2022_01_29_max2,choice_auROC,stereoclick,0.1,0.3,0,0.01,0,2,,
2022_01_25,choice_auROC,stereoclick,0.1,0.3,0,0.1,0,2,,
2021_12_17,choice_auROC,stereoclick,0.1,0.3,0,0.1,0,1000,,
2021_12_17,choice_auROC,cpoke_req_end,-0.2,0.3,0,0.1,0,1000,,
2021_12_16,choice_auROC,stereoclick,0.1,0.3,0,0.08,0,1000,,
2021_12_16,choice_auROC,cpoke_req_end,-0.2,0.3,0,0.08,0,1000,,
2021_12_09,choice_auROC,stereoclick,0.15,1,0,0.12,0,1000,,
2021_11_16,choice_auROC,stereoclick,0.15,0.5,0,0.12,0,1000,,
2021_07_23,choice_auROC,stereoclick,0.15,0.5,0,0.08,0,1000,,
